"Accession","class"
"GCA_904848185.1","Actinopteri"
"GCA_905171665.2","Actinopteri"
"GCA_905171765.1","Amphibia"
"GCA_905171775.1","Amphibia"
"GCA_905237065.2","Actinopteri"
"GCA_905319855.2","Mammalia"
"GCA_907164435.1","Mammalia"
"GCA_907164505.1","Mammalia"
"GCA_907165065.1","Aves"
"GCA_907169655.1","Mammalia"
"GCA_910589615.1","Actinopteri"
"GCA_910591455.2","Actinopteri"
"GCA_910594005.1","Mammalia"
"GCA_910596095.1","Actinopteri"
"GCA_910950805.1","Aves"
"GCA_914725855.1","Actinopteri"
"GCA_921997135.2","Mammalia"
"GCA_922984935.2","Mammalia"
"GCA_929443795.2","Aves"
"GCA_933228915.1","Actinopteri"
"GCA_936440315.1","Actinopteri"
"GCA_937001465.1","Mammalia"
"GCA_944319715.1","Mammalia"
"GCA_946808225.1","Actinopteri"
"GCA_946959425.1","Actinopteri"
"GCA_947034865.1","Actinopteri"
"GCA_947179515.1","Mammalia"
"GCA_947247035.1","Lepidosauria"
"GCA_947347685.1","Actinopteri"
"GCA_947461875.1","Aves"
"GCA_947650265.1","Actinopteri"
"GCA_949152265.1","Actinopteri"
"GCA_949316205.1","Actinopteri"
"GCA_949316345.1","Actinopteri"
"GCA_949357685.1","Actinopteri"
"GCA_949357725.1","Actinopteri"
"GCA_949606895.1","Actinopteri"
"GCA_949628215.1","Aves"
"GCA_949748355.1","Actinopteri"
"GCA_949752795.1","Mammalia"
"GCA_949774975.1","Mammalia"
"GCA_949786385.1","Mammalia"
"GCA_949786405.1","Mammalia"
"GCA_949786415.1","Mammalia"
"GCA_949820135.1","Mammalia"
"GCA_949987535.1","Mammalia"
"GCA_949987555.1","Actinopteri"
"GCA_949987615.1","Actinopteri"
"GCA_949987685.1","Actinopteri"
"GCA_950295315.1","Mammalia"
"GCA_951216825.1","Actinopteri"
"GCA_951640355.1","Mammalia"
